Timestamp,take_calculus,c_result,c_addmath_gred,c_learning_style,c_how_preparation,c_focus_math,c_difficulty_math,n_hours_studying,n_days_preparation,n_hours_sleep,c_gender,c_on_off_campus,c_place_studying,c_extracurricular,c_internet_interruption,n_add_materials,n_hours_exercising,n_hours_socmed,n_distance,n_housemate,n_meals,n_devices
12/6/2024 22:05,Yes / Ya,Fail / Gagal,Not Taken / Tidak Ambil,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,2,4,4,3,5,Female / Perempuan,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,2,1,3,4,1,6,1,2
12/6/2024 22:07,Yes / Ya,Fail / Gagal,G,"Visual (e.g., picture)",Self-study / Belajar sendiri,1,5,2,2,6,Male / Lelaki,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,1,1,4,5,5,6,2,2
12/6/2024 22:09,Yes / Ya,Fail / Gagal,E,"Auditory / Pendengaran (e.g., recording)",Self-study / Belajar sendiri,1,4,3,2,5,Female / Perempuan,On-campus / Dalam kampus,At cafes or other public spaces / Kafe atau tempat umum lain,Yes / Ya,3,1,2,5,2,6,2,2
12/6/2024 22:11,Yes / Ya,Fail / Gagal,Not Taken / Tidak Ambil,"Auditory / Pendengaran (e.g., recording)",Online Courses / Kursus dalam talian,2,5,3,3,6,Female / Perempuan,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,2,1,3,4,8,6,2,2
12/6/2024 22:14,Yes / Ya,Fail / Gagal,C,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Self-study / Belajar sendiri,2,4,2,5,4,Female / Perempuan,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,3,2,2,8,2,6,2,4
12/6/2024 22:16,Yes / Ya,Pass / Lulus,A+,Reading & Writting / Membaca & Menulis,Group Study / Belajar berkumpulan,4,1,4,14,8,Male / Lelaki,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,1,5,3,5,3,2,3,2
12/6/2024 22:18,Yes / Ya,Fail / Gagal,C+,"Visual (e.g., picture)",Self-study / Belajar sendiri,2,4,2,3,5,Male / Lelaki,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,3,1,1,7,10,10,4,4
12/6/2024 22:21,Yes / Ya,Fail / Gagal,D,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Online Courses / Kursus dalam talian,2,4,2,2,6,Male / Lelaki,Off-campus / Luar kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,3,2,2,6,8,8,3,3
12/6/2024 22:23,Yes / Ya,Fail / Gagal,C,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,2,4,2,1,5,Male / Lelaki,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,3,2,2,10,5,4,1,4
12/6/2024 22:24,Yes / Ya,Pass / Lulus,A,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Group Study / Belajar berkumpulan,4,1,5,20,8,Female / Perempuan,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,1,3,3,6,2,2,3,2
12/6/2024 22:26,Yes / Ya,Fail / Gagal,C,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,1,5,1,2,5,Male / Lelaki,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,3,2,2,7,6,6,1,4
12/7/2024 11:48,Yes / Ya,Pass / Lulus,B+,"Auditory / Pendengaran (e.g., recording)",Online Courses / Kursus dalam talian,3,3,4,3,6,Male / Lelaki,On-campus / Dalam kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,2,2,4,5,2,4,2,3
12/7/2024 11:50,Yes / Ya,Pass / Lulus,A+,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Group Study / Belajar berkumpulan,4,1,5,5,7,Male / Lelaki,Off-campus / Luar kampus,At cafes or other public spaces / Kafe atau tempat umum lain,No / Tidak,1,2,5,3,7,5,3,3
12/7/2024 11:52,Yes / Ya,Pass / Lulus,A,"Auditory / Pendengaran (e.g., recording)",Self-study / Belajar sendiri,4,2,5,4,7,Male / Lelaki,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",No / Tidak,2,1,5,4,7,6,2,2
12/7/2024 11:54,Yes / Ya,Pass / Lulus,B,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,3,4,3,3,5,Male / Lelaki,On-campus / Dalam kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,2,1,3,5,2,6,1,2
12/7/2024 11:56,Yes / Ya,Pass / Lulus,C,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,2,4,3,2,4,Male / Lelaki,Off-campus / Luar kampus,At cafes or other public spaces / Kafe atau tempat umum lain,Yes / Ya,3,1,3,5,10,6,2,2
12/7/2024 12:00,Yes / Ya,Fail / Gagal,E,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Self-study / Belajar sendiri,1,4,3,2,5,Female / Perempuan,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,3,1,2,6,1,6,2,2
12/7/2024 12:04,Yes / Ya,Fail / Gagal,TH / Tidak Hadir,Reading & Writting / Membaca & Menulis,Online Courses / Kursus dalam talian,2,4,4,3,6,Female / Perempuan,On-campus / Dalam kampus,At cafes or other public spaces / Kafe atau tempat umum lain,Yes / Ya,2,1,2,5,2,5,2,2
12/7/2024 12:07,Yes / Ya,Fail / Gagal,Not Taken / Tidak Ambil,"Auditory / Pendengaran (e.g., recording)",Self-study / Belajar sendiri,2,5,3,2,4,Male / Lelaki,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,3,1,3,4,1,5,2,2
12/7/2024 12:10,Yes / Ya,Fail / Gagal,G,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,1,5,2,1,5,Female / Perempuan,Off-campus / Luar kampus,At cafes or other public spaces / Kafe atau tempat umum lain,No / Tidak,1,1,2,6,6,4,2,3
12/7/2024 12:11,Yes / Ya,Fail / Gagal,E,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Self-study / Belajar sendiri,1,4,3,2,5,Female / Perempuan,On-campus / Dalam kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,2,1,3,5,2,5,2,3
12/7/2024 13:23,Yes / Ya,Pass / Lulus,B,"Auditory / Pendengaran (e.g., recording)",Group Study / Belajar berkumpulan,3,3,2,4,5,Male / Lelaki,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",No / Tidak,4,2,1,5,6,6,2,2
12/7/2024 13:26,Yes / Ya,Fail / Gagal,D,"Visual (e.g., picture)",Self-study / Belajar sendiri,1,5,1,3,4,Male / Lelaki,On-campus / Dalam kampus,"At home / Di rumah (e.g., bedroom, study room)",No / Tidak,3,1,2,8,10,4,2,3
12/7/2024 13:28,Yes / Ya,Pass / Lulus,A,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,3,4,4,10,6,Female / Perempuan,Off-campus / Luar kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",No / Tidak,1,4,3,4,20,1,3,5
12/7/2024 13:30,Yes / Ya,Fail / Gagal,D,"Auditory / Pendengaran (e.g., recording)",Online Courses / Kursus dalam talian,2,5,1,2,4,Male / Lelaki,On-campus / Dalam kampus,At cafes or other public spaces / Kafe atau tempat umum lain,No / Tidak,4,3,0,7,12,6,2,4
12/7/2024 13:34,Yes / Ya,Fail / Gagal,TH / Tidak Hadir,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Group Study / Belajar berkumpulan,2,3,1,1,3,Male / Lelaki,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",No / Tidak,3,1,4,6,3,5,3,2
12/7/2024 13:36,Yes / Ya,Pass / Lulus,B+,Reading & Writting / Membaca & Menulis,Online Courses / Kursus dalam talian,3,4,3,6,6,Female / Perempuan,On-campus / Dalam kampus,At cafes or other public spaces / Kafe atau tempat umum lain,Yes / Ya,2,2,5,4,7,6,3,2
12/7/2024 15:07,No / Tidak,,,,,,,,,,,,,,,,,,,,,
12/7/2024 15:08,Yes / Ya,Pass / Lulus,C+,"Auditory / Pendengaran (e.g., recording)",Tutoring / Tuisyen,2,1,4,1,7,Female / Perempuan,Off-campus / Luar kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",No / Tidak,1,1,2,9,10,8,3,1
12/7/2024 15:09,Yes / Ya,Pass / Lulus,A+,Reading & Writting / Membaca & Menulis,Group Study / Belajar berkumpulan,4,2,8,12,8,Male / Lelaki,Off-campus / Luar kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",No / Tidak,1,2,7,8,4,6,3,3
12/7/2024 15:09,Yes / Ya,Fail / Gagal,C+,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Group Study / Belajar berkumpulan,2,3,4,1,6,Male / Lelaki,On-campus / Dalam kampus,At a tuition center or with a private tutor / Di pusat tuisyen atau tutor persendirian,Yes / Ya,3,4,4,12,1,6,3,3
12/7/2024 15:12,Yes / Ya,Fail / Gagal,B+,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,2,4,3,2,7,Female / Perempuan,On-campus / Dalam kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,2,1,5,8,1,6,3,2
12/7/2024 15:15,Yes / Ya,Pass / Lulus,B+,Reading & Writting / Membaca & Menulis,Group Study / Belajar berkumpulan,3,4,4,7,8,Male / Lelaki,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",No / Tidak,2,3,2,7,5,8,3,2
12/7/2024 15:16,Yes / Ya,Pass / Lulus,A,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,4,2,5,3,5,Female / Perempuan,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,3,3,3,4,0.5,6,2,3
12/7/2024 15:21,Yes / Ya,Fail / Gagal,E,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Group Study / Belajar berkumpulan,3,5,4,5,6,Female / Perempuan,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,1,1,3,9,2,6,3,3
12/7/2024 15:22,Yes / Ya,Fail / Gagal,G,Reading & Writting / Membaca & Menulis,Group Study / Belajar berkumpulan,2,5,2,7,7,Male / Lelaki,Off-campus / Luar kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,2,1,1,9,6,8,3,2
12/7/2024 15:24,Yes / Ya,Fail / Gagal,E,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,3,5,2,3,9,Female / Perempuan,On-campus / Dalam kampus,At cafes or other public spaces / Kafe atau tempat umum lain,No / Tidak,2,2,3,8,2,6,3,4
12/7/2024 15:26,Yes / Ya,Pass / Lulus,G,Reading & Writting / Membaca & Menulis,Group Study / Belajar berkumpulan,4,5,4,9,7,Female / Perempuan,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",No / Tidak,1,3,2,6,3,8,3,3
12/7/2024 15:31,Yes / Ya,Pass / Lulus,E,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,4,4,4,6,9,Male / Lelaki,On-campus / Dalam kampus,At cafes or other public spaces / Kafe atau tempat umum lain,No / Tidak,2,2,4,7,2,8,3,3
12/7/2024 16:08,Yes / Ya,Pass / Lulus,C+,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Self-study / Belajar sendiri,3,3,5,3,4,Male / Lelaki,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,1,4,9,6,15,6,2,4
12/7/2024 16:32,No / Tidak,,,,,,,,,,,,,,,,,,,,,
12/7/2024 16:45,No / Tidak,,,,,,,,,,,,,,,,,,,,,
12/7/2024 16:46,Yes / Ya,Pass / Lulus,E,Reading & Writting / Membaca & Menulis,Group Study / Belajar berkumpulan,3,4,5,7,5,Male / Lelaki,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,2,5,6,5,1,6,3,3
12/7/2024 18:39,Yes / Ya,Pass / Lulus,D,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Group Study / Belajar berkumpulan,3,5,5,5,5,Female / Perempuan,On-campus / Dalam kampus,At cafes or other public spaces / Kafe atau tempat umum lain,Yes / Ya,3,2,4,5,1.5,4,2,2
12/8/2024 17:53,Yes / Ya,Pass / Lulus,A,"Auditory / Pendengaran (e.g., recording)",Self-study / Belajar sendiri,3,4,7,8,8,Male / Lelaki,On-campus / Dalam kampus,"At home / Di rumah (e.g., bedroom, study room)",No / Tidak,1,3,4,6,1,5,2,3
12/8/2024 17:54,Yes / Ya,Pass / Lulus,A-,"Visual (e.g., picture)",Group Study / Belajar berkumpulan,2,3,3,3,7,Female / Perempuan,Off-campus / Luar kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,2,3,5,9,4,4,2,2
12/8/2024 19:39,Yes / Ya,Fail / Gagal,C,Reading & Writting / Membaca & Menulis,Self-study / Belajar sendiri,2,4,2,2,4,Male / Lelaki,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,3,1,1,6,5,8,2,3
12/8/2024 19:44,Yes / Ya,Pass / Lulus,A+,"Auditory / Pendengaran (e.g., recording)",Group Study / Belajar berkumpulan,4,1,4,21,8,Female / Perempuan,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,2,4,3,4,3,4,3,3
12/8/2024 19:46,Yes / Ya,Fail / Gagal,D,"Auditory / Pendengaran (e.g., recording)",Online Courses / Kursus dalam talian,2,4,1,3,4,Male / Lelaki,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,3,2,2,6,7,7,2,4
12/8/2024 19:48,Yes / Ya,Fail / Gagal,E,"Auditory / Pendengaran (e.g., recording)",Tutoring / Tuisyen,1,5,1,3,4,Male / Lelaki,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,4,1,1,8,8,8,1,4
12/8/2024 19:52,Yes / Ya,Fail / Gagal,E,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Self-study / Belajar sendiri,1,5,1,2,4,Male / Lelaki,Off-campus / Luar kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,3,1,1,6,6,6,2,3
12/8/2024 19:55,Yes / Ya,Fail / Gagal,D,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Self-study / Belajar sendiri,1,5,2,2,5,Male / Lelaki,Off-campus / Luar kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",No / Tidak,4,1,1,6,10,9,2,3
12/8/2024 19:57,Yes / Ya,Fail / Gagal,D,"Auditory / Pendengaran (e.g., recording)",Self-study / Belajar sendiri,1,5,1,2,4,Male / Lelaki,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,4,2,2,6,3,7,2,2
12/8/2024 19:58,Yes / Ya,Fail / Gagal,E,"Visual (e.g., picture)",Self-study / Belajar sendiri,2,4,1,3,4,Female / Perempuan,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,3,1,1,6,2,5,2,3
12/8/2024 20:00,Yes / Ya,Fail / Gagal,C+,"Auditory / Pendengaran (e.g., recording)",Group Study / Belajar berkumpulan,2,4,2,3,5,Male / Lelaki,Off-campus / Luar kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,3,1,3,6,10,6,2,3
12/8/2024 20:01,Yes / Ya,Fail / Gagal,C,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Self-study / Belajar sendiri,1,4,2,2,5,Male / Lelaki,Off-campus / Luar kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,3,1,1,6,7,7,2,4
12/8/2024 20:03,Yes / Ya,Fail / Gagal,C,"Auditory / Pendengaran (e.g., recording)",Self-study / Belajar sendiri,2,4,2,3,4,Female / Perempuan,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",Yes / Ya,3,1,1,5,2,6,2,3
12/8/2024 20:30,Yes / Ya,Pass / Lulus,B,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Self-study / Belajar sendiri,3,3,5,14,8,Male / Lelaki,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,3,1,0,5,5,5,3,2
12/8/2024 22:06,Yes / Ya,Pass / Lulus,A+,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Group Study / Belajar berkumpulan,4,1,7,7,8,Male / Lelaki,On-campus / Dalam kampus,"At school or university / Di sekolah atau universiti (e.g., classroom, library)",No / Tidak,1,2,4,3,1,6,3,3
12/8/2024 22:07,Yes / Ya,Pass / Lulus,A-,"Auditory / Pendengaran (e.g., recording)",Group Study / Belajar berkumpulan,4,2,6,5,7,Male / Lelaki,On-campus / Dalam kampus,At cafes or other public spaces / Kafe atau tempat umum lain,Yes / Ya,1,1,3,4,2,6,2,3
12/8/2024 22:09,Yes / Ya,Pass / Lulus,A,Reading & Writting / Membaca & Menulis,Group Study / Belajar berkumpulan,4,1,6,7,8,Male / Lelaki,On-campus / Dalam kampus,"At home / Di rumah (e.g., bedroom, study room)",No / Tidak,1,1,5,3,1,5,4,2
12/8/2024 22:13,Yes / Ya,Pass / Lulus,B+,"Kinesthetic / Kinestetik (e.g., apply hands-on)",Group Study / Belajar berkumpulan,3,2,3,4,6,Male / Lelaki,On-campus / Dalam kampus,"At home / Di rumah (e.g., bedroom, study room)",Yes / Ya,2,1,3,5,2,6,2,2
12/8/2024 22:14,Yes / Ya,Pass / Lulus,B,"Auditory / Pendengaran (e.g., recording)",Self-study / Belajar sendiri,3,3,3,3,5,Male / Lelaki,Off-campus / Luar kampus,At cafes or other public spaces / Kafe atau tempat umum lain,Yes / Ya,2,2,1,5,9,5,2,3
12/8/2024 22:15,Yes / Ya,Pass / Lulus,B-,"Visual (e.g., picture)",Self-study / Belajar sendiri,3,3,3,3,6,Male / Lelaki,Off-campus / Luar kampus,"At home / Di rumah (e.g., bedroom, study room)",No / Tidak,2,1,2,5,10,6,3,3
12/8/2024 22:21,Yes / Ya,Pass / Lulus,C+,"Visual (e.g., picture)",Tutoring / Tuisyen,3,4,3,3,5,Female / Perempuan,Off-campus / Luar kampus,At a tuition center or with a private tutor / Di pusat tuisyen atau tutor persendirian,No / Tidak,2,1,4,5,9,5,3,2
